id,Landfill,west,south,east,north
0,ALBACETE,-1.821765764,38.95967262,-1.731934236,39.02949016
1,ALBOX: MANCOMUNIDAD ALMANZORA LEVANTE,-2.218884431,37.35494935,-2.129052903,37.42632174
2,ALCALA DEL RIO (LA VEGA-SEVILLA),-6.044365764,37.56359481,-5.954534236,37.63476817
3,ALCAZAR DE SAN JUAN (COMPLEJO): COMSERMANCHA,-3.270015045,39.39823211,-3.180183517,39.46761516
4,ALMERIA: CMA,-2.331661642,36.8429426,-2.241830114,36.91479937
5,CAN MATA (ELS HOSTALETS DE PIEROLA): DC,1.761471634,41.49722109,1.851303162,41.56446886
6,CANADA HERMOSA: MURCIA,-1.297722791,37.97930695,-1.284658814,37.98903122
7,DAIMIEL,-3.629513447,39.0296436,-3.539681919,39.09939209
8,ECOPARQUE DE TOLEDO: GESMAT,-4.208719764,39.82670202,-4.118888236,39.89565666
9,ECOPARQUE GRAN CANARIA NORTE (SALTO DEL NEGRO),-15.43449174,28.05207064,-15.42364146,28.06086737
10,ECOPARQUE GRAN CANARIA SUR (JUAN GRANDE),-15.53164576,27.77236553,-15.44181424,27.85181994
11,FAMALICAO - VALOR RIB,-8.629571504,41.36381635,-8.539739976,41.43120254
12,FONTCALENT: ALICANTE (AALL),-0.637093833,38.33560829,-0.547262305,38.40603707
13,GOLMAYO,-2.548463539,41.71203575,-2.458632011,41.77905986
14,"LAS LAGUNAS, ZALLA",-3.179046224,43.15480269,-3.089214696,43.2203004
15,MILA: MENORCA,4.215542349,39.88366633,4.305373877,39.95256372
16,ORIS,2.164812663,42.04107817,2.254644191,42.10775787
17,PLANALTO BEIRAO - CITERPB (CENTRO INTEGRADO DE TRATAMIENTO Y ELIMINACIï¿½N DE PLANALTO BEIRAO),-8.201791764,40.43846617,-8.111960236,40.50680245
18,PUERTOLLANO: RCDS,-4.157212755,38.63005704,-4.067381227,38.70019846
19,SANTA MARIA DE PALAUTORDERA TM: DC,2.413940978,41.66303948,2.503772506,41.73011469
20,UTE GIREF,1.436585336,38.90669371,1.526416864,38.97656347
21,VILLARRASA_UTE TRATAMIENTO HUELVA,-6.68464357,37.41556402,-6.594812042,37.48687868
22,PIEDRA NEGRA,-0.535093619,38.45602039,-0.445262091,38.52633188
23,LANDFILL Pinto biometanización (TEST),-3.640158482,40.25476766,-3.618696316,40.27215286
24,ALGERIA PLUME (TEST),5.892546785,31.6548619,5.918553483,31.66936342
25,Stoke road gas leak,-2.106891044,51.94728113,-2.093376728,51.95481374
26,Wingmoor Landfill west of Bishop's Cleeve,-2.097230648,51.94236673,-2.08873341,51.94819975
27,Buenos Aries Landfill,-58.63618621,-34.54034891,-58.60138186,-34.51782757
28,CAN MATA close,1.796507181,41.52131654,1.81513244,41.53721948
29,Uzbek Refinery and sorrundings ,64.41820108,38.91619432,64.58817691,39.04279871
30,Kazak Refinery and sorrundings ,53.74496815,39.33820185,53.88113015,39.42971586
31,Korpezhe oil and gas field of Turkmenistan.,54.19088172,38.49248624,54.20568194,38.50402935
32,Hassi Messaoud South West,5.818759812,31.60853358,5.931665637,31.69231267
